[2019-06-23 13:43:00,901][DEBUG]:  VGG11 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-23 14:03:16,611][INFO]: VGG11 | epoch:57/100 | tol_epoch:57 | loss:0.0013 | acc:100.0% | val_loss:1.6727 | val_acc:97.6984% | lr:0.000035 | time: 20s188ms
[2019-06-23 14:03:36,775][INFO]: VGG11 | epoch:58/100 | tol_epoch:58 | loss:0.0006 | acc:100.0% | val_loss:1.6728 | val_acc:97.6984% | lr:0.000012 | time: 20s164ms
[2019-06-23 14:03:56,880][INFO]: VGG11 | epoch:59/100 | tol_epoch:59 | loss:0.0006 | acc:100.0% | val_loss:1.6729 | val_acc:97.6984% | lr:0.000002 | time: 20s103ms
[2019-06-23 14:04:17,021][INFO]: VGG11 | epoch:60/100 | tol_epoch:60 | loss:0.0008 | acc:100.0% | val_loss:1.6729 | val_acc:97.6984% | lr:0.000000 | time: 20s140ms
[2019-06-23 14:04:40,187][INFO]: VGG11 | epoch:61/100 | tol_epoch:61 | loss:0.0004 | acc:100.0% | val_loss:1.6729 | val_acc:97.6984% | lr:0.000014 | time: 20s144ms
[2019-06-23 14:05:00,342][INFO]: VGG11 | epoch:62/100 | tol_epoch:62 | loss:0.0009 | acc:100.0% | val_loss:1.6727 | val_acc:97.6984% | lr:0.000109 | time: 20s154ms
[2019-06-23 14:05:20,460][INFO]: VGG11 | epoch:63/100 | tol_epoch:63 | loss:0.0007 | acc:100.0% | val_loss:1.6727 | val_acc:97.6984% | lr:0.000138 | time: 20s117ms
[2019-06-23 14:05:40,663][INFO]: VGG11 | epoch:64/100 | tol_epoch:64 | loss:0.0004 | acc:100.0% | val_loss:1.6730 | val_acc:97.6984% | lr:0.000194 | time: 20s200ms
[2019-06-23 14:06:00,799][INFO]: VGG11 | epoch:65/100 | tol_epoch:65 | loss:0.0008 | acc:100.0% | val_loss:1.6756 | val_acc:97.6984% | lr:0.000266 | time: 20s136ms
[2019-06-23 14:06:32,430][INFO]: VGG11 | epoch:66/100 | tol_epoch:66 | loss:0.0006 | acc:100.0% | val_loss:1.6756 | val_acc:97.6984% | lr:0.000352 | time: 20s131ms
[2019-06-23 14:06:52,659][INFO]: VGG11 | epoch:67/100 | tol_epoch:67 | loss:0.0006 | acc:100.0% | val_loss:1.6774 | val_acc:97.6984% | lr:0.000451 | time: 20s226ms
