[2019-06-22 14:17:01,531][INFO]: LeNet | epoch:62/100 | tol_epoch:62 | loss:0.0010 | acc:100.0% | val_loss:7.3369 | val_acc:89.3651% | time:16s222ms
[2019-06-22 14:17:17,770][INFO]: LeNet | epoch:63/100 | tol_epoch:63 | loss:0.0012 | acc:100.0% | val_loss:7.3531 | val_acc:89.3651% | time:16s238ms
[2019-06-22 14:17:33,957][INFO]: LeNet | epoch:64/100 | tol_epoch:64 | loss:0.0010 | acc:100.0% | val_loss:7.3669 | val_acc:89.3651% | time:16s186ms
[2019-06-22 14:17:50,178][INFO]: LeNet | epoch:65/100 | tol_epoch:65 | loss:0.0011 | acc:100.0% | val_loss:7.3762 | val_acc:89.4048% | time:16s219ms
[2019-06-22 14:18:06,558][INFO]: LeNet | epoch:66/100 | tol_epoch:66 | loss:0.0008 | acc:100.0% | val_loss:7.3788 | val_acc:89.3651% | time:16s170ms
[2019-06-22 14:18:22,776][INFO]: LeNet | epoch:67/100 | tol_epoch:67 | loss:0.0010 | acc:100.0% | val_loss:7.3887 | val_acc:89.3651% | time:16s215ms
[2019-06-22 14:18:39,429][INFO]: LeNet | epoch:68/100 | tol_epoch:68 | loss:0.0010 | acc:100.0% | val_loss:7.3952 | val_acc:89.3651% | time:16s652ms
[2019-06-22 14:18:56,014][INFO]: LeNet | epoch:69/100 | tol_epoch:69 | loss:0.0010 | acc:100.0% | val_loss:7.4013 | val_acc:89.4048% | time:16s581ms
[2019-06-22 14:19:12,473][INFO]: LeNet | epoch:70/100 | tol_epoch:70 | loss:0.0009 | acc:100.0% | val_loss:7.4115 | val_acc:89.3651% | time:16s457ms
[2019-06-22 14:19:29,029][INFO]: LeNet | epoch:71/100 | tol_epoch:71 | loss:0.0009 | acc:100.0% | val_loss:7.4231 | val_acc:89.4048% | time:16s343ms
[2019-06-22 14:19:45,297][INFO]: LeNet | epoch:72/100 | tol_epoch:72 | loss:0.0009 | acc:100.0% | val_loss:7.4216 | val_acc:89.4444% | time:16s266ms
[2019-06-22 14:20:01,606][INFO]: LeNet | epoch:73/100 | tol_epoch:73 | loss:0.0008 | acc:100.0% | val_loss:7.4322 | val_acc:89.4444% | time:16s307ms
[2019-06-22 14:20:17,870][INFO]: LeNet | epoch:74/100 | tol_epoch:74 | loss:0.0010 | acc:100.0% | val_loss:7.4375 | val_acc:89.4048% | time:16s262ms
[2019-06-22 14:20:34,133][INFO]: LeNet | epoch:75/100 | tol_epoch:75 | loss:0.0008 | acc:100.0% | val_loss:7.4415 | val_acc:89.4048% | time:16s260ms
[2019-06-22 14:20:50,620][INFO]: LeNet | epoch:76/100 | tol_epoch:76 | loss:0.0007 | acc:100.0% | val_loss:7.4458 | val_acc:89.4048% | time:16s271ms
[2019-06-22 14:21:06,933][INFO]: LeNet | epoch:77/100 | tol_epoch:77 | loss:0.0008 | acc:100.0% | val_loss:7.4479 | val_acc:89.4048% | time:16s311ms
[2019-06-22 14:21:23,208][INFO]: LeNet | epoch:78/100 | tol_epoch:78 | loss:0.0007 | acc:100.0% | val_loss:7.4523 | val_acc:89.4444% | time:16s274ms
[2019-06-22 14:21:39,747][INFO]: LeNet | epoch:79/100 | tol_epoch:79 | loss:0.0009 | acc:100.0% | val_loss:7.4587 | val_acc:89.4444% | time:16s536ms
