[2019-06-23 18:57:43,974][DEBUG]:  AlexNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.005000
[2019-06-23 19:13:34,937][INFO]: AlexNet | epoch:54/100 | tol_epoch:54 | loss:0.0025 | acc:100.0% | val_loss:2.7233 | val_acc:95.0397% | lr:0.000090 | time: 17s181ms
[2019-06-23 19:13:52,091][INFO]: AlexNet | epoch:55/100 | tol_epoch:55 | loss:0.0017 | acc:100.0% | val_loss:2.7238 | val_acc:95.0397% | lr:0.000059 | time: 17s153ms
[2019-06-23 19:14:10,541][INFO]: AlexNet | epoch:56/100 | tol_epoch:56 | loss:0.0023 | acc:100.0% | val_loss:2.7206 | val_acc:95.0397% | lr:0.000035 | time: 17s175ms
[2019-06-23 19:14:27,717][INFO]: AlexNet | epoch:57/100 | tol_epoch:57 | loss:0.0018 | acc:100.0% | val_loss:2.7210 | val_acc:95.0397% | lr:0.000017 | time: 17s175ms
[2019-06-23 19:14:44,904][INFO]: AlexNet | epoch:58/100 | tol_epoch:58 | loss:0.0018 | acc:100.0% | val_loss:2.7210 | val_acc:95.0397% | lr:0.000006 | time: 17s186ms
[2019-06-23 19:15:02,114][INFO]: AlexNet | epoch:59/100 | tol_epoch:59 | loss:0.0015 | acc:100.0% | val_loss:2.7210 | val_acc:95.0397% | lr:0.000001 | time: 17s209ms
[2019-06-23 19:15:19,335][INFO]: AlexNet | epoch:60/100 | tol_epoch:60 | loss:0.0017 | acc:100.0% | val_loss:2.7210 | val_acc:95.0397% | lr:0.000000 | time: 17s215ms
[2019-06-23 19:15:37,999][INFO]: AlexNet | epoch:61/100 | tol_epoch:61 | loss:0.0014 | acc:100.0% | val_loss:2.7210 | val_acc:95.0397% | lr:0.000007 | time: 17s250ms
[2019-06-23 19:15:55,189][INFO]: AlexNet | epoch:62/100 | tol_epoch:62 | loss:0.0015 | acc:100.0% | val_loss:2.7215 | val_acc:95.0397% | lr:0.000055 | time: 17s189ms
[2019-06-23 19:16:12,743][INFO]: AlexNet | epoch:63/100 | tol_epoch:63 | loss:0.0015 | acc:100.0% | val_loss:2.7216 | val_acc:95.0397% | lr:0.000069 | time: 17s553ms
[2019-06-23 19:16:30,123][INFO]: AlexNet | epoch:64/100 | tol_epoch:64 | loss:0.0016 | acc:100.0% | val_loss:2.7202 | val_acc:95.0397% | lr:0.000097 | time: 17s376ms
