[2019-06-22 18:01:45,315][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 18:11:43,954][INFO]: LeNet | epoch:55/100 | tol_epoch:55 | loss:0.0004 | acc:100.0% | val_loss:2.1734 | val_acc:95.0794% | lr:0.000119 | time: 10s854ms
[2019-06-22 18:11:54,809][INFO]: LeNet | epoch:56/100 | tol_epoch:56 | loss:0.0004 | acc:100.0% | val_loss:2.1734 | val_acc:95.0794% | lr:0.000070 | time: 10s837ms
[2019-06-22 18:12:05,546][INFO]: LeNet | epoch:57/100 | tol_epoch:57 | loss:0.0004 | acc:100.0% | val_loss:2.1734 | val_acc:95.0794% | lr:0.000035 | time: 10s732ms
[2019-06-22 18:12:16,314][INFO]: LeNet | epoch:58/100 | tol_epoch:58 | loss:0.0004 | acc:100.0% | val_loss:2.1735 | val_acc:95.0794% | lr:0.000012 | time: 10s768ms
[2019-06-22 18:12:27,224][INFO]: LeNet | epoch:59/100 | tol_epoch:59 | loss:0.0003 | acc:100.0% | val_loss:2.1734 | val_acc:95.0794% | lr:0.000002 | time: 10s909ms
[2019-06-22 18:12:38,117][INFO]: LeNet | epoch:60/100 | tol_epoch:60 | loss:0.0003 | acc:100.0% | val_loss:2.1734 | val_acc:95.0794% | lr:0.000000 | time: 10s891ms
[2019-06-22 18:12:48,916][INFO]: LeNet | epoch:61/100 | tol_epoch:61 | loss:0.0003 | acc:100.0% | val_loss:2.1735 | val_acc:95.0794% | lr:0.000014 | time: 10s784ms
[2019-06-22 18:12:59,708][INFO]: LeNet | epoch:62/100 | tol_epoch:62 | loss:0.0003 | acc:100.0% | val_loss:2.1736 | val_acc:95.0794% | lr:0.000109 | time: 10s791ms
[2019-06-22 18:13:10,436][INFO]: LeNet | epoch:63/100 | tol_epoch:63 | loss:0.0003 | acc:100.0% | val_loss:2.1735 | val_acc:95.0794% | lr:0.000138 | time: 10s725ms
[2019-06-22 18:13:21,177][INFO]: LeNet | epoch:64/100 | tol_epoch:64 | loss:0.0004 | acc:100.0% | val_loss:2.1734 | val_acc:95.0794% | lr:0.000194 | time: 10s740ms
[2019-06-22 18:13:31,895][INFO]: LeNet | epoch:65/100 | tol_epoch:65 | loss:0.0004 | acc:100.0% | val_loss:2.1738 | val_acc:95.0794% | lr:0.000266 | time: 10s718ms
[2019-06-22 18:13:42,735][INFO]: LeNet | epoch:66/100 | tol_epoch:66 | loss:0.0003 | acc:100.0% | val_loss:2.1740 | val_acc:95.0794% | lr:0.000352 | time: 10s822ms
[2019-06-22 18:13:53,452][INFO]: LeNet | epoch:67/100 | tol_epoch:67 | loss:0.0004 | acc:100.0% | val_loss:2.1747 | val_acc:95.0794% | lr:0.000451 | time: 10s716ms
[2019-06-22 18:14:04,173][INFO]: LeNet | epoch:68/100 | tol_epoch:68 | loss:0.0003 | acc:100.0% | val_loss:2.1753 | val_acc:95.0794% | lr:0.000563 | time: 10s719ms
[2019-06-22 18:14:14,997][INFO]: LeNet | epoch:69/100 | tol_epoch:69 | loss:0.0004 | acc:100.0% | val_loss:2.1756 | val_acc:95.0794% | lr:0.000687 | time: 10s823ms
[2019-06-22 18:14:25,818][INFO]: LeNet | epoch:70/100 | tol_epoch:70 | loss:0.0004 | acc:100.0% | val_loss:2.1770 | val_acc:95.0794% | lr:0.000823 | time: 10s818ms
[2019-06-22 18:14:36,632][INFO]: LeNet | epoch:71/100 | tol_epoch:71 | loss:0.0004 | acc:100.0% | val_loss:2.1787 | val_acc:95.0794% | lr:0.000971 | time: 10s797ms
[2019-06-22 18:14:47,422][INFO]: LeNet | epoch:72/100 | tol_epoch:72 | loss:0.0004 | acc:100.0% | val_loss:2.1795 | val_acc:95.0794% | lr:0.001130 | time: 10s789ms
[2019-06-22 18:14:58,251][INFO]: LeNet | epoch:73/100 | tol_epoch:73 | loss:0.0003 | acc:100.0% | val_loss:2.1803 | val_acc:95.0794% | lr:0.001300 | time: 10s828ms
[2019-06-22 18:15:09,173][INFO]: LeNet | epoch:74/100 | tol_epoch:74 | loss:0.0003 | acc:100.0% | val_loss:2.1828 | val_acc:95.0794% | lr:0.001480 | time: 10s920ms
[2019-06-22 18:15:20,029][INFO]: LeNet | epoch:75/100 | tol_epoch:75 | loss:0.0003 | acc:100.0% | val_loss:2.1834 | val_acc:95.0794% | lr:0.001670 | time: 10s854ms
[2019-06-22 18:15:30,825][INFO]: LeNet | epoch:76/100 | tol_epoch:76 | loss:0.0003 | acc:100.0% | val_loss:2.1858 | val_acc:95.0794% | lr:0.001869 | time: 10s780ms
[2019-06-22 18:15:41,599][INFO]: LeNet | epoch:77/100 | tol_epoch:77 | loss:0.0003 | acc:100.0% | val_loss:2.1863 | val_acc:95.0794% | lr:0.002076 | time: 10s772ms
[2019-06-22 18:15:52,362][INFO]: LeNet | epoch:78/100 | tol_epoch:78 | loss:0.0004 | acc:100.0% | val_loss:2.1905 | val_acc:95.0794% | lr:0.002292 | time: 10s762ms
[2019-06-22 18:16:03,325][INFO]: LeNet | epoch:79/100 | tol_epoch:79 | loss:0.0002 | acc:100.0% | val_loss:2.1912 | val_acc:95.0794% | lr:0.002515 | time: 10s962ms
[2019-06-22 18:16:14,768][INFO]: LeNet | epoch:80/100 | tol_epoch:80 | loss:0.0003 | acc:100.0% | val_loss:2.1976 | val_acc:95.0794% | lr:0.002745 | time: 11s441ms
[2019-06-22 18:16:25,579][INFO]: LeNet | epoch:81/100 | tol_epoch:81 | loss:0.0003 | acc:100.0% | val_loss:2.2001 | val_acc:95.0794% | lr:0.002981 | time: 10s793ms
[2019-06-22 18:16:36,461][INFO]: LeNet | epoch:82/100 | tol_epoch:82 | loss:0.0003 | acc:100.0% | val_loss:2.2047 | val_acc:95.0794% | lr:0.003223 | time: 10s881ms
