[2019-06-22 16:50:23,877][DEBUG]:  LeNet | train set size:286x16 | val set size:158x16 | input size:(224, 224) | class num:62 | lr: 0.010000
[2019-06-22 17:05:33,594][INFO]: LeNet | epoch:50/100 | tol_epoch:50 | loss:0.0151 | acc: 99.9% | val_loss:5.1878 | val_acc:88.8095% | lr:0.002914 | time: 17s821ms
[2019-06-22 17:05:52,534][INFO]: LeNet | epoch:51/100 | tol_epoch:51 | loss:0.0111 | acc:100.0% | val_loss:5.2484 | val_acc:89.0476% | lr:0.002737 | time: 17s861ms
[2019-06-22 17:06:10,435][INFO]: LeNet | epoch:52/100 | tol_epoch:52 | loss:0.0063 | acc:100.0% | val_loss:5.2406 | val_acc:89.1667% | lr:0.002564 | time: 17s900ms
[2019-06-22 17:06:28,252][INFO]: LeNet | epoch:53/100 | tol_epoch:53 | loss:0.0075 | acc:100.0% | val_loss:5.2625 | val_acc:89.0873% | lr:0.002395 | time: 17s816ms
[2019-06-22 17:06:46,092][INFO]: LeNet | epoch:54/100 | tol_epoch:54 | loss:0.0055 | acc:100.0% | val_loss:5.2639 | val_acc:88.9683% | lr:0.002229 | time: 17s836ms
[2019-06-22 17:07:03,967][INFO]: LeNet | epoch:55/100 | tol_epoch:55 | loss:0.0046 | acc:100.0% | val_loss:5.2832 | val_acc:89.0079% | lr:0.002068 | time: 17s873ms
[2019-06-22 17:07:22,828][INFO]: LeNet | epoch:56/100 | tol_epoch:56 | loss:0.0043 | acc:100.0% | val_loss:5.2898 | val_acc:89.1270% | lr:0.001912 | time: 17s823ms
[2019-06-22 17:07:40,681][INFO]: LeNet | epoch:57/100 | tol_epoch:57 | loss:0.0049 | acc:100.0% | val_loss:5.3089 | val_acc:89.0079% | lr:0.001760 | time: 17s852ms
[2019-06-22 17:07:58,594][INFO]: LeNet | epoch:58/100 | tol_epoch:58 | loss:0.0041 | acc:100.0% | val_loss:5.3273 | val_acc:88.8889% | lr:0.001613 | time: 17s912ms
[2019-06-22 17:08:16,442][INFO]: LeNet | epoch:59/100 | tol_epoch:59 | loss:0.0033 | acc:100.0% | val_loss:5.3423 | val_acc:88.9286% | lr:0.001472 | time: 17s846ms
[2019-06-22 17:08:34,291][INFO]: LeNet | epoch:60/100 | tol_epoch:60 | loss:0.0036 | acc:100.0% | val_loss:5.3412 | val_acc:89.0476% | lr:0.001335 | time: 17s846ms
[2019-06-22 17:08:53,240][INFO]: LeNet | epoch:61/100 | tol_epoch:61 | loss:0.0035 | acc:100.0% | val_loss:5.3481 | val_acc:89.0079% | lr:0.001205 | time: 17s864ms
[2019-06-22 17:09:11,127][INFO]: LeNet | epoch:62/100 | tol_epoch:62 | loss:0.0037 | acc:100.0% | val_loss:5.3550 | val_acc:88.8492% | lr:0.001080 | time: 17s885ms
