[2019-06-22 19:45:45,519][DEBUG]:  ResNet18 | train set size:286x16 | val set size:158x16 | input size:(64, 64) | class num:62 | lr: 0.010000
[2019-06-22 20:03:38,955][INFO]: ResNet18 | epoch:64/100 | tol_epoch:64 | loss:0.0013 | acc:100.0% | val_loss:1.0156 | val_acc:96.8254% | lr:0.000194 | time: 16s576ms
[2019-06-22 20:03:55,712][INFO]: ResNet18 | epoch:65/100 | tol_epoch:65 | loss:0.0015 | acc:100.0% | val_loss:1.0249 | val_acc:96.7063% | lr:0.000266 | time: 16s755ms
[2019-06-22 20:04:12,492][INFO]: ResNet18 | epoch:66/100 | tol_epoch:66 | loss:0.0015 | acc:100.0% | val_loss:0.9884 | val_acc:96.7857% | lr:0.000352 | time: 16s617ms
[2019-06-22 20:04:29,288][INFO]: ResNet18 | epoch:67/100 | tol_epoch:67 | loss:0.0013 | acc:100.0% | val_loss:0.9973 | val_acc:96.6667% | lr:0.000451 | time: 16s793ms
[2019-06-22 20:04:45,858][INFO]: ResNet18 | epoch:68/100 | tol_epoch:68 | loss:0.0011 | acc:100.0% | val_loss:1.0184 | val_acc:96.8254% | lr:0.000563 | time: 16s569ms
[2019-06-22 20:05:02,472][INFO]: ResNet18 | epoch:69/100 | tol_epoch:69 | loss:0.0013 | acc:100.0% | val_loss:1.0108 | val_acc:96.9841% | lr:0.000687 | time: 16s612ms
[2019-06-22 20:05:19,309][INFO]: ResNet18 | epoch:70/100 | tol_epoch:70 | loss:0.0014 | acc:100.0% | val_loss:1.0462 | val_acc:96.9048% | lr:0.000823 | time: 16s835ms
[2019-06-22 20:05:36,236][INFO]: ResNet18 | epoch:71/100 | tol_epoch:71 | loss:0.0017 | acc:100.0% | val_loss:0.9959 | val_acc:96.8254% | lr:0.000971 | time: 16s735ms
[2019-06-22 20:05:52,968][INFO]: ResNet18 | epoch:72/100 | tol_epoch:72 | loss:0.0011 | acc:100.0% | val_loss:0.9899 | val_acc:96.8651% | lr:0.001130 | time: 16s730ms
[2019-06-22 20:06:09,615][INFO]: ResNet18 | epoch:73/100 | tol_epoch:73 | loss:0.0014 | acc:100.0% | val_loss:1.0474 | val_acc:96.7857% | lr:0.001300 | time: 16s645ms
[2019-06-22 20:06:26,406][INFO]: ResNet18 | epoch:74/100 | tol_epoch:74 | loss:0.0014 | acc:100.0% | val_loss:0.9970 | val_acc:96.7460% | lr:0.001480 | time: 16s789ms
[2019-06-22 20:06:43,263][INFO]: ResNet18 | epoch:75/100 | tol_epoch:75 | loss:0.0013 | acc:100.0% | val_loss:1.0533 | val_acc:96.7063% | lr:0.001670 | time: 16s856ms
[2019-06-22 20:06:59,930][INFO]: ResNet18 | epoch:76/100 | tol_epoch:76 | loss:0.0013 | acc:100.0% | val_loss:1.0070 | val_acc:96.9048% | lr:0.001869 | time: 16s492ms
[2019-06-22 20:07:16,604][INFO]: ResNet18 | epoch:77/100 | tol_epoch:77 | loss:0.0013 | acc:100.0% | val_loss:1.0340 | val_acc:96.8254% | lr:0.002076 | time: 16s672ms
[2019-06-22 20:07:33,298][INFO]: ResNet18 | epoch:78/100 | tol_epoch:78 | loss:0.0012 | acc:100.0% | val_loss:1.0184 | val_acc:97.0238% | lr:0.002292 | time: 16s691ms
[2019-06-22 20:07:49,977][INFO]: ResNet18 | epoch:79/100 | tol_epoch:79 | loss:0.0012 | acc:100.0% | val_loss:1.0116 | val_acc:96.9048% | lr:0.002515 | time: 16s677ms
[2019-06-22 20:08:06,483][INFO]: ResNet18 | epoch:80/100 | tol_epoch:80 | loss:0.0013 | acc:100.0% | val_loss:0.9534 | val_acc:97.1825% | lr:0.002745 | time: 16s505ms
[2019-06-22 20:08:23,392][INFO]: ResNet18 | epoch:81/100 | tol_epoch:81 | loss:0.0013 | acc:100.0% | val_loss:1.0008 | val_acc:97.0635% | lr:0.002981 | time: 16s737ms
[2019-06-22 20:08:39,957][INFO]: ResNet18 | epoch:82/100 | tol_epoch:82 | loss:0.0012 | acc:100.0% | val_loss:0.9765 | val_acc:96.7857% | lr:0.003223 | time: 16s562ms
[2019-06-22 20:08:56,525][INFO]: ResNet18 | epoch:83/100 | tol_epoch:83 | loss:0.0011 | acc:100.0% | val_loss:1.0249 | val_acc:96.7460% | lr:0.003470 | time: 16s567ms
[2019-06-22 20:09:13,143][INFO]: ResNet18 | epoch:84/100 | tol_epoch:84 | loss:0.0015 | acc:100.0% | val_loss:1.0105 | val_acc:97.0635% | lr:0.003721 | time: 16s617ms
[2019-06-22 20:09:29,791][INFO]: ResNet18 | epoch:85/100 | tol_epoch:85 | loss:0.0011 | acc:100.0% | val_loss:0.9718 | val_acc:97.1825% | lr:0.003975 | time: 16s646ms
[2019-06-22 20:09:46,620][INFO]: ResNet18 | epoch:86/100 | tol_epoch:86 | loss:0.0012 | acc:100.0% | val_loss:0.9892 | val_acc:96.8651% | lr:0.004232 | time: 16s666ms
[2019-06-22 20:10:03,107][INFO]: ResNet18 | epoch:87/100 | tol_epoch:87 | loss:0.0010 | acc:100.0% | val_loss:0.9927 | val_acc:97.0635% | lr:0.004492 | time: 16s486ms
[2019-06-22 20:10:19,596][INFO]: ResNet18 | epoch:88/100 | tol_epoch:88 | loss:0.0011 | acc:100.0% | val_loss:0.9964 | val_acc:96.8254% | lr:0.004753 | time: 16s487ms
[2019-06-22 20:10:36,188][INFO]: ResNet18 | epoch:89/100 | tol_epoch:89 | loss:0.0012 | acc:100.0% | val_loss:1.0139 | val_acc:96.7857% | lr:0.005014 | time: 16s591ms
[2019-06-22 20:10:52,863][INFO]: ResNet18 | epoch:90/100 | tol_epoch:90 | loss:0.0009 | acc:100.0% | val_loss:1.0209 | val_acc:96.8254% | lr:0.005276 | time: 16s674ms
[2019-06-22 20:11:09,661][INFO]: ResNet18 | epoch:91/100 | tol_epoch:91 | loss:0.0009 | acc:100.0% | val_loss:1.0043 | val_acc:96.6667% | lr:0.005537 | time: 16s633ms
[2019-06-22 20:11:26,387][INFO]: ResNet18 | epoch:92/100 | tol_epoch:92 | loss:0.0010 | acc:100.0% | val_loss:1.0005 | val_acc:96.8651% | lr:0.005797 | time: 16s724ms
[2019-06-22 20:11:43,032][INFO]: ResNet18 | epoch:93/100 | tol_epoch:93 | loss:0.0009 | acc:100.0% | val_loss:1.0185 | val_acc:96.8651% | lr:0.006054 | time: 16s643ms
[2019-06-22 20:11:59,798][INFO]: ResNet18 | epoch:94/100 | tol_epoch:94 | loss:0.0010 | acc:100.0% | val_loss:1.0252 | val_acc:96.9444% | lr:0.006308 | time: 16s764ms
[2019-06-22 20:12:16,517][INFO]: ResNet18 | epoch:95/100 | tol_epoch:95 | loss:0.0012 | acc:100.0% | val_loss:1.0091 | val_acc:96.9048% | lr:0.006559 | time: 16s717ms
[2019-06-22 20:12:33,735][INFO]: ResNet18 | epoch:96/100 | tol_epoch:96 | loss:0.0012 | acc:100.0% | val_loss:0.9920 | val_acc:96.8651% | lr:0.006806 | time: 17s45ms
[2019-06-22 20:12:50,665][INFO]: ResNet18 | epoch:97/100 | tol_epoch:97 | loss:0.0008 | acc:100.0% | val_loss:0.9812 | val_acc:96.9841% | lr:0.007048 | time: 16s928ms
[2019-06-22 20:13:07,730][INFO]: ResNet18 | epoch:98/100 | tol_epoch:98 | loss:0.0009 | acc:100.0% | val_loss:0.9918 | val_acc:97.0635% | lr:0.007284 | time: 17s63ms
[2019-06-22 20:13:24,469][INFO]: ResNet18 | epoch:99/100 | tol_epoch:99 | loss:0.0008 | acc:100.0% | val_loss:1.0008 | val_acc:96.9048% | lr:0.007514 | time: 16s738ms
[2019-06-22 20:13:41,459][INFO]: ResNet18 | epoch:100/100 | tol_epoch:100 | loss:0.0010 | acc:100.0% | val_loss:0.9898 | val_acc:96.9841% | lr:0.007737 | time: 16s989ms
